name,pos,team,adp,merged_rank,market_pctl,value_pctl,proj_pctl,ceiling_pctl,spike_pctl,adv_pctl,coachspeak_pctl,route_eff_pctl,coverage_proof_pctl,run_eff_pctl,rec_eff_pctl,separation_pctl,yac_pctl,rush_eff_pctl,explosive_pctl,protection_pctl,oline_pctl,matchup_pctl,sis_value_pctl,boom_pctl,consensus,divergence,n_votes,flags
Chris Brooks,RB,GB,226.81262,241.0,24.52,27.4,40.87,45.11,92.53,40.87,18.0,,,50.0,,,50.0,50.0,50.0,,47.47,93.43,58.43,49.4,49.0,22.61,12,POLARIZING
Darnell Washington,TE,PIT,226.82176,242.0,45.24,45.24,45.24,48.12,87.74,45.24,50.0,75.0,27.88,,77.88,50.0,50.0,,,,90.0,40.0,44.57,92.39,58.81,21.35,13,BOOM MERCHANT; ZONE-BEATER
Chris Brazzell II,WR,CAR,225.71573,243.0,39.42,39.42,34.62,50.17,98.24,34.62,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,24.5,60.6,50.0,50.0,47.7,21.63,8,
J.J. McCarthy,QB,MIN,225.81651,244.0,34.82,34.82,33.04,50.0,50.0,33.04,75.0,,,,,,,,,5.1,27.68,53.57,7.14,27.55,33.18,19.23,10,
Roman Hemby,RB,LV,225.93332,245.0,27.4,26.44,14.42,50.0,50.0,14.42,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,21.72,50.0,50.0,20.85,5.13,6,
Austin Ekeler,RB,FA,226.01639,246.0,26.44,25.48,14.42,50.0,50.0,14.42,50.0,,,50.0,,,50.0,50.0,50.0,,50.0,50.0,68.07,12.65,30.21,19.53,7,RB-ZONE-SCHEME
Odell Beckham Jr.,WR,NYG,226.28445,247.0,38.78,38.78,19.55,28.17,69.37,19.55,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,63.91,91.72,50.0,50.0,46.23,24.44,8,POLARIZING
Jerome Ford,RB,WAS,226.44263,248.0,25.48,24.52,14.42,50.0,50.0,14.42,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,31.31,60.84,98.19,37.77,26.0,9,BOOM MERCHANT; RB-GAP-SCHEME
DeAndre Hopkins,WR,FA,226.74625,249.0,38.14,38.14,18.91,50.0,50.0,18.91,50.0,49.19,95.45,,75.2,50.0,50.0,,94.72,,50.0,50.0,50.99,88.61,56.83,28.18,10,EFFICIENCY EDGE; BOOM MERCHANT
Rashod Bateman,WR,BAL,227.23001,250.0,36.22,37.5,59.29,55.81,55.28,59.29,50.0,12.6,79.75,,10.16,50.0,50.0,,81.71,,82.12,95.7,8.42,14.36,49.16,28.74,14,MARKET FADE; POLARIZING; MAN-BEATER
Hollywood Brown,WR,PHI,227.4871,251.0,34.29,36.86,9.94,50.0,50.0,9.94,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,52.32,88.08,50.0,50.0,38.57,26.77,6,
Jalen Tolbert,WR,MIA,226.90584,252.0,37.5,36.22,39.42,43.48,82.04,39.42,50.0,4.47,78.1,,15.04,50.0,50.0,,40.24,,24.5,27.15,19.31,42.57,37.82,20.55,14,
Cyrus Allen,WR,KC,227.10925,253.0,36.86,35.58,12.5,11.44,23.59,12.5,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,91.72,16.89,50.0,50.0,30.14,25.14,8,POLARIZING
Devin Singletary,RB,NYG,227.18604,254.0,23.56,23.56,26.44,25.14,78.16,26.44,50.0,,,50.0,,,50.0,38.54,25.0,,47.47,59.09,11.45,22.29,35.16,17.88,13,
Mack Hollins,WR,NE,227.25612,255.0,35.58,34.94,16.35,23.5,57.04,16.35,50.0,42.68,72.31,,67.89,35.81,15.54,,40.24,,52.32,13.25,71.78,35.15,39.42,19.47,16,ZONE-BEATER
Joe Flacco,QB,CIN,227.30939,256.0,33.04,33.04,0.89,50.0,50.0,0.89,50.0,,,,,,,,,19.39,16.96,71.43,9.18,23.47,23.14,20.45,9,
Isaiah Davis,RB,NYJ,227.37802,257.0,22.6,22.6,35.1,35.34,70.69,35.1,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,27.78,56.02,59.64,42.03,15.13,11,
JuJu Smith-Schuster,WR,NYG,227.44734,258.0,34.94,34.29,9.94,0.35,0.35,9.94,50.0,30.89,34.3,,48.37,84.46,27.03,,30.49,,63.91,91.72,28.22,48.02,36.08,25.78,16,POLARIZING; SEPARATION KING; ZONE-BEATER
Ty Johnson,RB,BUF,227.61319,259.0,18.75,21.63,49.52,47.99,76.44,49.52,50.0,,,50.0,,,50.0,50.0,50.0,,98.48,8.59,57.23,95.78,52.18,28.04,11,POLARIZING; BOOM MERCHANT; RB-ZONE-SCHEME
Joe Mixon,RB,FA,227.52539,260.0,21.63,20.67,14.42,50.0,50.0,14.42,50.0,,,50.0,,,50.0,50.0,50.0,,50.0,50.0,50.0,50.0,17.78,3.38,4,
Ollie Gordon II,RB,MIA,227.52815,261.0,20.67,19.71,29.33,28.74,75.29,29.33,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,14.65,41.57,55.42,35.04,17.76,11,RB-ZONE-SCHEME
Will Shipley,RB,PHI,227.53659,262.0,19.71,18.75,22.6,20.54,52.87,22.6,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,84.34,37.95,12.65,35.41,20.57,11,
Cedric Tillman,WR,CLE,227.5469,264.0,33.65,33.65,13.78,19.02,51.76,13.78,50.0,13.82,85.54,,29.67,50.0,50.0,,59.35,,38.41,78.48,27.23,17.82,36.85,22.79,14,POLARIZING
KeAndre Lambert-Smith,WR,LAC,227.60004,265.0,33.01,33.01,14.42,20.95,53.17,14.42,50.0,3.66,83.88,,6.1,50.0,50.0,,1.22,,1.66,52.65,50.0,50.0,26.51,24.65,12,POLARIZING
Anthony Richardson Sr.,QB,IND,227.69998,266.0,31.25,31.25,15.18,50.0,50.0,15.18,50.0,,,,,,,,,3.06,16.96,66.96,37.76,1.02,24.29,19.18,9,
Bryce Lance,WR,NO,227.70503,267.0,32.37,32.37,22.12,29.76,65.14,22.12,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,7.62,63.58,50.0,50.0,34.38,18.86,8,
Audric Estime,RB,NO,227.8913,268.0,17.79,17.79,14.42,50.0,50.0,14.42,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,80.81,86.14,99.4,44.61,33.16,9,BOOM MERCHANT; RB-GAP-SCHEME
John Metchie III,WR,CAR,227.7907,269.0,31.73,31.73,9.94,50.0,50.0,9.94,50.0,72.76,6.2,,11.79,96.62,0.68,,6.91,,24.5,60.6,14.36,7.43,27.51,28.03,14,EFFICIENCY EDGE; SEPARATION KING; MAN-BEATER
Jake Tonges,TE,SF,227.84093,270.0,43.65,43.65,13.49,17.45,50.0,13.49,50.0,18.27,37.5,,52.88,65.28,20.83,,,,63.33,30.0,55.43,20.65,36.39,17.8,15,
Malik Benson,WR,LV,227.94887,271.0,31.09,31.09,9.94,50.0,50.0,9.94,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,30.79,20.2,50.0,50.0,22.17,9.46,6,
Andrei Iosivas,WR,CIN,228.02167,272.0,30.45,30.45,45.19,52.29,87.68,45.19,50.0,7.72,76.45,,27.24,23.65,18.92,,32.11,,15.89,72.19,47.03,33.66,40.38,21.9,16,MAN-BEATER
Keenan Allen,WR,FA,228.07916,273.0,29.81,29.81,9.94,50.0,50.0,9.94,50.0,50.81,86.36,,55.69,26.35,42.57,,25.2,,50.0,50.0,84.65,61.88,42.75,24.7,12,
Jaylen Wright,RB,MIA,228.13762,274.0,16.83,16.83,36.06,37.64,83.33,36.06,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,14.65,24.7,55.42,35.66,19.92,11,RB-GAP-SCHEME
Devaughn Vele,WR,NO,228.15921,275.0,29.17,29.17,34.62,47.36,99.65,34.62,50.0,24.8,44.21,,64.63,50.0,50.0,,23.98,,7.62,63.58,42.08,85.15,45.05,24.36,14,POLARIZING; BOOM MERCHANT
Carson Beck,QB,ARI,228.16779,276.0,29.46,29.46,59.82,46.09,67.19,59.82,50.0,,,,,,,,,50.0,43.75,45.54,50.0,50.0,47.64,13.05,8,MARKET FADE
J'Mari Taylor,RB,JAX,228.2037,277.0,15.87,15.87,9.13,50.0,50.0,9.13,50.0,,,50.0,,,50.0,50.0,50.0,,80.3,5.05,50.0,50.0,22.56,26.11,6,
Matt Hibner,TE,BAL,228.26506,278.0,42.06,42.06,18.25,50.0,50.0,18.25,50.0,50.0,50.0,,50.0,50.0,50.0,,,,78.33,96.67,50.0,50.0,49.27,29.21,6,
Brashard Smith,RB,KC,228.31035,279.0,14.9,14.9,3.85,50.0,50.0,3.85,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,18.18,21.08,8.43,17.32,13.11,9,
Xavier Legette,WR,CAR,228.35509,281.0,28.53,28.53,42.63,50.44,90.85,42.63,50.0,15.45,53.31,,14.23,29.05,6.08,,69.11,,24.5,60.6,21.29,10.89,36.76,22.68,16,POLARIZING; MAN-BEATER
Darren Waller,TE,FA,228.35574,282.0,40.48,40.48,18.25,50.0,50.0,18.25,50.0,71.15,50.96,,64.42,50.0,50.0,,,,50.0,50.0,66.3,90.22,51.17,22.91,9,BOOM MERCHANT
Jarquez Hunter,RB,LAR,228.38232,283.0,13.94,13.94,3.85,50.0,50.0,3.85,50.0,,,50.0,,,50.0,50.0,50.0,,91.41,65.15,50.0,50.0,32.02,33.83,6,
Luke McCaffrey,WR,WAS,228.42908,284.0,27.88,27.88,1.6,50.0,50.0,1.6,50.0,87.4,1.24,,77.64,50.0,50.0,,3.66,,38.41,35.1,50.0,50.0,30.24,29.67,10,
Quinn Ewers,QB,MIA,228.47058,285.0,27.68,27.68,15.18,50.0,50.0,15.18,50.0,,,,,,,,,25.51,27.68,23.21,27.55,34.69,24.93,5.95,9,QB-ZONE-BEATER
Zach Ertz,TE,FA,228.4851,286.0,38.89,38.89,18.25,50.0,50.0,18.25,50.0,56.73,16.35,,12.5,4.17,6.94,,,,50.0,50.0,11.96,33.7,23.33,15.64,11,ZONE-BEATER
Justin Fields,QB,KC,228.50427,287.0,25.89,25.89,31.25,50.0,50.0,31.25,50.0,,,,,,,,,13.27,91.07,14.29,15.31,17.35,29.51,22.77,9,
Malik Davis,RB,DAL,228.51318,288.0,12.98,12.98,39.9,42.24,91.38,39.9,50.0,,,50.0,,,50.0,50.0,50.0,,66.67,35.35,62.05,57.83,46.48,21.91,11,RB-GAP-SCHEME
Michael Trigg,TE,DAL,228.5532,289.0,37.3,37.3,18.25,50.0,50.0,18.25,50.0,50.0,50.0,,50.0,50.0,50.0,,,,38.33,70.0,50.0,50.0,36.57,17.29,6,
Jameis Winston,QB,NYG,228.57141,290.0,24.11,24.11,15.18,50.0,50.0,15.18,50.0,,,,,,,,,82.65,66.96,91.07,60.2,96.94,52.93,31.69,9,BOOM MERCHANT; QB-ZONE-BEATER
Devontez Walker,WR,BAL,228.57278,291.0,27.24,27.24,17.63,26.06,63.03,17.63,50.0,96.34,12.81,,93.9,50.0,50.0,,99.59,,82.12,95.7,50.0,50.0,54.94,34.9,12,POLARIZING
Oscar Delp,TE,NO,228.58618,292.0,35.71,35.71,18.25,50.0,50.0,18.25,50.0,50.0,50.0,,50.0,50.0,50.0,,,,10.0,65.83,50.0,50.0,30.62,18.36,6,
Demarcus Robinson,WR,SF,228.5882,293.0,26.6,26.6,5.45,2.64,1.06,5.45,50.0,20.73,45.87,,18.29,50.0,50.0,,13.01,,69.54,31.13,20.3,19.8,21.89,17.77,14,ZONE-BEATER
Drew Allar,QB,PIT,228.61542,294.0,22.32,22.32,15.18,50.0,50.0,15.18,50.0,,,,,,,,,50.0,91.07,36.61,50.0,50.0,33.78,26.6,6,
Adam Randall,RB,BAL,228.6679,295.0,12.02,12.02,24.52,20.11,61.49,24.52,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,62.12,50.0,50.0,33.03,19.56,8,
DeMario Douglas,WR,NE,228.70322,296.0,25.96,25.96,31.09,40.32,79.93,31.09,50.0,97.97,2.07,,76.83,50.0,50.0,,85.77,,52.32,13.25,64.85,86.63,51.0,29.72,14,POLARIZING; BOOM MERCHANT; MAN-BEATER
Calvin Austin III,WR,NYG,228.72134,298.0,25.32,25.32,8.01,9.86,21.48,8.01,50.0,39.84,73.97,,19.92,50.0,50.0,,87.8,,63.91,91.72,6.44,3.47,34.65,30.33,14,POLARIZING
Greg Dortch,WR,DET,228.7647,299.0,24.68,24.68,6.09,3.87,3.87,6.09,50.0,6.1,42.56,,32.11,50.0,50.0,,84.96,,7.62,38.41,32.18,31.19,24.6,21.53,14,
Davis Mills,QB,HOU,228.7778,300.0,20.54,20.54,15.18,50.0,50.0,15.18,50.0,,,,,,,,,23.47,7.14,75.0,19.39,11.22,23.07,18.98,9,QB-ZONE-BEATER
Darius Slayton,WR,NYG,228.80002,301.0,24.04,24.04,47.76,50.88,71.48,47.76,50.0,33.74,36.78,,51.63,41.22,64.19,,93.09,,63.91,91.72,53.96,69.31,54.09,20.08,16,ZONE-BEATER
Cole Kmet,TE,CHI,228.80516,302.0,34.13,34.13,32.54,41.04,93.4,32.54,50.0,8.65,85.58,,18.27,50.0,50.0,,,,97.5,5.83,40.22,38.04,43.22,28.97,13,POLARIZING
Brenen Thompson,WR,LAC,228.83261,304.0,23.4,23.4,15.71,22.71,55.99,15.71,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,1.66,52.65,50.0,50.0,26.4,17.45,8,
Zavion Thomas,WR,CHI,228.83585,305.0,22.76,22.76,3.53,1.41,2.46,3.53,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,98.34,4.97,50.0,50.0,19.97,30.77,8,POLARIZING
Kendrick Bourne,WR,ARI,228.89276,306.0,22.12,22.12,28.53,39.26,84.15,28.53,50.0,45.12,21.9,,72.76,55.41,91.22,,17.07,,38.41,50.0,70.79,96.53,49.0,25.76,16,POLARIZING; BOOM MERCHANT
Trey Benson,RB,ARI,228.9389,307.0,11.06,11.06,3.85,50.0,50.0,3.85,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,45.45,47.59,37.95,28.7,19.4,9,
Kalif Raymond,WR,CHI,228.98073,308.0,21.47,21.47,33.65,45.42,85.56,33.65,50.0,38.62,69.01,,83.33,50.0,50.0,,18.29,,98.34,4.97,50.0,50.0,46.15,29.21,12,POLARIZING
Will Howard,QB,PIT,229.0303,309.0,18.75,18.75,15.18,50.0,50.0,15.18,50.0,,,,,,,,,50.0,91.07,36.61,50.0,50.0,32.59,27.16,6,
Marvin Mims Jr.,WR,DEN,229.04002,310.0,20.83,20.83,40.71,51.14,95.77,40.71,50.0,89.84,2.89,,25.61,97.97,47.97,,95.53,,74.5,44.7,17.33,1.49,47.99,32.34,16,POLARIZING; SEPARATION KING; MAN-BEATER
DJ Giddens,RB,IND,229.0587,311.0,10.1,10.1,33.17,36.2,84.48,33.17,50.0,,,50.0,,,50.0,50.0,50.0,,80.3,38.89,66.87,87.35,48.24,26.66,11,POLARIZING; BOOM MERCHANT; RB-ZONE-SCHEME
Marcus Mariota,QB,WAS,229.09998,312.0,16.96,16.96,15.18,50.0,50.0,15.18,50.0,,,,,,,,,58.16,43.75,30.36,43.88,47.96,32.04,15.77,9,QB-ZONE-BEATER
Isaiah Bond,WR,CLE,229.183,313.0,20.19,20.19,7.37,7.48,14.08,7.37,50.0,60.98,23.55,,15.85,50.0,50.0,,70.33,,38.41,78.48,11.39,17.82,28.11,23.41,14,POLARIZING
CJ Daniels,WR,LAR,229.18965,314.0,19.55,19.55,4.49,2.11,3.17,4.49,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,82.12,85.1,50.0,50.0,27.57,33.02,8,POLARIZING
KaVontae Turpin,WR,DAL,229.20547,315.0,18.91,18.91,36.86,48.77,94.72,36.86,50.0,48.37,18.6,,86.59,50.0,50.0,,62.6,,38.41,66.23,56.93,78.71,50.82,23.94,14,POLARIZING; BOOM MERCHANT; ZONE-BEATER
Jahan Dotson,WR,ATL,229.26747,316.0,18.27,18.27,47.12,47.01,60.21,47.12,50.0,2.85,97.11,,6.91,50.0,50.0,,28.86,,52.32,98.68,3.47,10.89,38.51,30.6,14,POLARIZING; ZONE-BEATER
Olamide Zaccheaus,WR,ATL,229.32965,317.0,17.63,17.63,37.5,42.08,84.86,37.5,50.0,10.16,59.09,,4.47,84.46,8.78,,5.28,,52.32,98.68,7.43,25.74,37.1,30.03,16,POLARIZING; SEPARATION KING
Michael Mayer,TE,LV,229.37096,318.0,32.54,32.54,48.41,46.7,70.75,48.41,50.0,33.65,95.19,,22.12,48.61,44.44,,,,31.67,23.33,5.43,31.52,41.02,20.56,15,EFFICIENCY EDGE
Dont'e Thornton Jr.,WR,LV,229.4074,319.0,16.99,16.99,21.47,29.4,70.07,21.47,50.0,17.89,38.43,,0.41,50.0,50.0,,59.35,,30.79,20.2,50.0,50.0,28.62,18.53,12,
Jack Bech,WR,LV,229.4314,320.0,16.03,16.35,52.24,52.64,63.73,52.24,50.0,16.67,89.67,,38.62,50.0,50.0,,48.37,,30.79,20.2,50.0,50.0,41.46,21.78,12,
Jahdae Walker,WR,CHI,229.4314,321.0,16.03,15.71,11.86,8.98,15.85,11.86,50.0,50.81,14.46,,82.52,50.0,50.0,,2.85,,98.34,4.97,50.0,50.0,27.85,30.43,12,POLARIZING
Sione Vaki,RB,DET,229.45,322.0,9.13,9.13,3.85,50.0,50.0,3.85,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,90.4,50.0,50.0,27.31,32.01,6,
Tutu Atwell,WR,MIA,229.51202,324.0,15.06,15.06,25.96,29.84,57.04,25.96,50.0,63.82,43.39,,59.76,50.0,50.0,,75.61,,24.5,27.15,50.0,50.0,38.6,19.69,12,
LeQuint Allen Jr.,RB,JAX,229.51703,325.0,8.17,8.17,37.98,42.53,85.63,37.98,50.0,,,50.0,,,50.0,50.0,50.0,,80.3,5.05,59.64,93.37,46.26,29.96,11,POLARIZING; BOOM MERCHANT; RB-GAP-SCHEME
Chimere Dike,WR,TEN,229.54637,326.0,14.42,14.42,16.99,25.35,68.66,16.99,50.0,22.36,50.83,,17.48,94.59,14.19,,84.15,,52.32,81.79,9.41,8.42,37.02,29.18,16,POLARIZING; SEPARATION KING; ZONE-BEATER
Charlie Kolar,TE,LAC,229.61392,327.0,30.95,30.95,10.32,3.77,6.6,10.32,50.0,49.04,72.12,,91.35,50.0,50.0,,,,2.5,52.5,50.0,50.0,32.77,28.75,11,POLARIZING; EFFICIENCY EDGE
Tyler Huntley,QB,BAL,229.6275,328.0,15.18,15.18,15.18,50.0,50.0,15.18,50.0,,,,,,,,,78.57,81.25,94.64,62.24,62.24,48.85,31.49,9,QB-MAN-BEATER
Skyler Bell,WR,BUF,229.63998,329.0,13.78,13.78,20.83,29.05,66.55,20.83,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,91.72,1.66,50.0,50.0,32.28,28.73,8,POLARIZING
Deion Burks,WR,IND,229.6627,330.0,13.14,13.14,1.6,50.0,50.0,1.6,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,15.89,69.21,50.0,50.0,19.1,23.11,6,
Caleb Douglas,WR,MIA,229.69586,331.0,12.5,12.5,49.68,52.99,75.7,49.68,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,24.5,27.15,50.0,50.0,38.09,20.97,8,
Theo Johnson,TE,NYG,229.72519,332.0,29.37,29.37,40.48,44.34,89.62,40.48,50.0,45.19,83.65,,33.65,12.5,12.5,,,,58.33,93.33,20.65,45.65,45.27,24.98,15,POLARIZING; MAN-BEATER
Najee Harris,RB,FA,229.7535,334.0,7.21,7.21,3.85,50.0,50.0,3.85,50.0,,,50.0,,,50.0,50.0,50.0,,50.0,50.0,78.92,77.71,32.68,32.57,7,BOOM MERCHANT; RB-GAP-SCHEME
Tyler Higbee,TE,LAR,229.77997,335.0,27.78,27.78,26.19,24.05,59.43,26.19,50.0,78.85,31.73,,54.81,50.0,50.0,,,,78.33,85.0,42.39,85.87,49.88,23.93,13,POLARIZING; BOOM MERCHANT
Dyami Brown,WR,WAS,229.80702,336.0,11.86,11.86,48.4,54.4,83.45,48.4,50.0,23.98,35.12,,20.73,50.0,50.0,,77.64,,38.41,35.1,10.4,27.72,37.68,22.15,14,POLARIZING; MAN-BEATER
Devin Neal,RB,NO,229.92757,337.0,6.25,6.25,3.85,50.0,50.0,3.85,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,80.81,30.72,1.81,22.69,25.56,9,
Eli Heidenreich,WR,PIT,229.96062,338.0,11.22,11.22,1.6,50.0,50.0,1.6,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,91.72,41.39,50.0,50.0,26.46,32.1,6,
Joe Milton III,QB,DAL,230.0,339.0,13.39,13.39,29.46,50.0,50.0,29.46,50.0,,,,,,,,,33.67,43.75,62.5,56.12,9.18,32.32,17.88,9,QB-MAN-BEATER
Tyler Conklin,TE,DET,230.03229,340.0,26.19,26.19,7.14,50.0,50.0,7.14,50.0,10.58,77.88,,35.58,50.0,50.0,,,,10.0,36.67,50.0,50.0,26.37,21.35,9,
Tez Johnson,WR,TB,230.23622,341.0,10.58,10.58,13.14,14.08,29.93,13.14,50.0,19.92,62.4,,54.88,50.0,50.0,,30.49,,52.32,23.51,52.97,56.44,31.74,19.03,14,
Tommy Tremble,TE,CAR,230.32611,342.0,24.6,24.6,38.89,44.34,95.28,38.89,50.0,6.73,45.19,,27.88,50.0,50.0,,,,26.67,61.67,27.17,9.78,36.28,22.15,13,POLARIZING; ZONE-BEATER
Roman Wilson,WR,PIT,230.33331,343.0,9.94,9.94,1.6,50.0,50.0,1.6,50.0,43.9,35.95,,53.25,50.0,50.0,,90.65,,91.72,41.39,50.0,50.0,37.99,31.88,10,
Jordan Whittington,WR,LAR,230.3636,345.0,9.29,9.29,20.19,29.4,72.18,20.19,50.0,10.98,54.96,,44.31,50.0,50.0,,13.01,,82.12,85.1,50.0,50.0,37.58,27.94,12,POLARIZING
Elic Ayomanor,WR,TEN,230.40207,346.0,8.65,8.65,6.73,5.28,7.39,6.73,50.0,13.82,65.7,,8.54,33.11,16.89,,91.46,,52.32,81.79,4.46,36.14,27.98,28.37,16,POLARIZING; MAN-BEATER
Ja'Kobi Lane,WR,BAL,230.47083,347.0,8.01,8.01,46.47,51.76,81.34,46.47,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,82.12,95.7,50.0,50.0,52.48,30.84,8,POLARIZING
Kaleb Johnson,RB,PIT,230.50748,348.0,5.29,5.29,8.17,0.57,0.57,8.17,50.0,,,50.0,,,50.0,50.0,50.0,,66.67,11.62,33.13,42.77,21.11,21.94,11,RB-GAP-SCHEME
Joshua Palmer,WR,BUF,230.51468,349.0,7.37,7.37,22.76,31.34,73.59,22.76,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,91.72,1.66,50.0,50.0,32.32,30.82,8,POLARIZING
Emari Demercado,RB,KC,230.5251,350.0,4.33,4.33,45.67,51.44,97.13,45.67,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,18.18,34.34,8.43,34.57,26.38,11,POLARIZING; RB-ZONE-SCHEME
Ty Simpson,QB,LAR,230.58228,351.0,11.61,11.61,15.18,50.0,50.0,15.18,50.0,,,,,,,,,50.0,81.25,83.93,50.0,50.0,36.46,32.66,6,
Cade Klubnik,QB,NYJ,230.7286,352.0,9.82,9.82,15.18,50.0,50.0,15.18,50.0,,,,,,,,,50.0,16.96,7.14,50.0,50.0,12.35,3.59,6,
Ben Sinnott,TE,WAS,230.80522,353.0,23.02,23.02,11.9,17.69,56.6,11.9,50.0,41.35,39.42,,75.96,50.0,50.0,,,,38.33,33.33,50.0,50.0,33.87,18.73,11,
Sam Roush,TE,CHI,230.8163,354.0,21.43,21.43,7.14,50.0,50.0,7.14,50.0,50.0,50.0,,50.0,50.0,50.0,,,,97.5,5.83,50.0,50.0,26.74,32.32,6,
Noah Gray,TE,KC,230.85716,355.0,19.84,19.84,35.71,36.32,80.19,35.71,50.0,2.88,91.35,,6.73,50.0,50.0,,,,90.0,20.0,7.61,5.43,34.74,30.87,13,POLARIZING
Phil Mafah,RB,DAL,230.9259,356.0,3.37,3.37,3.85,50.0,50.0,3.85,50.0,,,50.0,,,50.0,50.0,50.0,,66.67,35.35,50.0,50.0,23.78,24.75,7,
Seth McGowan,RB,IND,231.038,358.0,2.4,2.4,18.75,8.62,22.41,18.75,50.0,,,50.0,,,50.0,50.0,50.0,,80.3,38.89,50.0,50.0,24.06,24.03,8,POLARIZING
Colbie Young,WR,CIN,231.05437,359.0,6.73,6.73,4.49,2.28,1.76,4.49,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,15.89,72.19,50.0,50.0,14.32,22.26,8,POLARIZING
Ja'Tavion Sanders,TE,CAR,231.11588,360.0,18.25,18.25,46.83,48.11,82.08,46.83,50.0,4.81,43.27,,20.19,50.0,50.0,,,,26.67,61.67,14.13,18.48,34.58,21.33,13,MAN-BEATER
Eli Raridon,TE,NE,231.25778,361.0,16.67,16.67,27.78,27.83,68.87,27.78,50.0,50.0,50.0,,50.0,50.0,50.0,,,,49.17,16.67,50.0,50.0,31.43,17.36,8,
Luke Musgrave,TE,GB,231.2632,362.0,15.08,15.08,23.02,24.06,65.09,23.02,50.0,41.35,66.35,,43.27,50.0,50.0,,,,78.33,13.33,38.04,27.17,36.4,20.74,13,
Kevin Coleman Jr.,WR,MIA,231.29631,363.0,6.09,6.09,29.17,36.44,75.0,29.17,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,24.5,27.15,50.0,50.0,29.2,20.14,8,
Dawson Knox,TE,BUF,231.3004,364.0,13.49,13.49,43.65,49.06,97.17,43.65,50.0,52.88,25.96,,56.73,68.06,51.39,,,,90.0,1.67,57.61,81.52,49.76,26.98,15,POLARIZING; BOOM MERCHANT; ZONE-BEATER
Mason Taylor,TE,NYJ,231.34187,365.0,11.9,11.9,34.13,36.32,85.85,34.13,50.0,12.5,12.5,,14.42,31.94,9.72,,,,19.17,10.0,29.35,16.3,24.68,18.97,15,ZONE-BEATER
Jaylin Lane,WR,WAS,231.4091,366.0,5.45,5.45,35.9,44.89,94.01,35.9,50.0,54.47,40.91,,21.54,50.0,50.0,,49.59,,38.41,35.1,16.34,9.41,34.81,22.6,14,POLARIZING
Savion Williams,WR,GB,231.41833,367.0,4.81,4.81,41.67,50.53,89.08,41.67,50.0,71.14,11.16,,81.71,50.0,50.0,,65.04,,82.12,9.93,50.0,50.0,46.14,30.82,12,POLARIZING
Jalen Royals,WR,KC,231.43546,368.0,4.17,4.17,24.68,38.82,90.85,24.68,50.0,0.41,50.0,,2.85,50.0,50.0,,97.15,,91.72,16.89,50.0,50.0,36.04,36.77,11,POLARIZING
Noah Fant,TE,NO,231.53331,369.0,10.32,10.32,30.95,33.02,78.3,30.95,50.0,66.35,2.88,,8.65,98.61,44.44,,,,10.0,65.83,1.09,22.83,34.3,29.26,15,POLARIZING; SEPARATION KING
Erick All Jr.,TE,CIN,231.58904,371.0,8.73,8.73,29.37,31.14,76.42,29.37,50.0,50.0,50.0,,50.0,50.0,50.0,,,,19.17,75.0,50.0,50.0,34.74,25.06,8,POLARIZING
Tyson Bagent,QB,CHI,231.6923,372.0,8.04,8.04,15.18,50.0,50.0,15.18,50.0,,,,,,,,,74.49,98.21,3.57,52.04,98.98,41.53,37.69,9,BOOM MERCHANT; QB-MAN-BEATER
Mac Jones,QB,SF,231.75862,373.0,6.25,6.25,15.18,50.0,50.0,15.18,50.0,,,,,,,,,86.73,71.43,26.79,86.73,76.53,43.45,33.78,9,BOOM MERCHANT
